label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
W,0.5375224351882935,0.7610790729522705,2.206453757480631e-07,0.5168530941009521,0.7151004076004028,-0.01941053941845894,0.5130079388618469,0.646883487701416,-0.025198059156537056,0.5452491044998169,0.6003841757774353,-0.029218627139925957,0.5743991732597351,0.5838564038276672,-0.033088259398937225,0.5021317005157471,0.5589274168014526,-0.009515534155070782,0.4866715371608734,0.47957855463027954,-0.01719171367585659,0.4782971739768982,0.4310368299484253,-0.02542828768491745,0.47157567739486694,0.3883255124092102,-0.03285151720046997,0.5297800898551941,0.5477344989776611,-0.010361130349338055,0.526018500328064,0.45910564064979553,-0.014784238301217556,0.524170994758606,0.40388190746307373,-0.02434607595205307,0.5212622284889221,0.3586205542087555,-0.03247665986418724,0.5537872910499573,0.5633967518806458,-0.014109496958553791,0.5642699599266052,0.49042102694511414,-0.024238035082817078,0.5711314678192139,0.4406801462173462,-0.0394907109439373,0.5744444131851196,0.39671245217323303,-0.051060955971479416,0.5762107968330383,0.5966061353683472,-0.019584545865654945,0.5915449857711792,0.5572417974472046,-0.031790975481271744,0.5924995541572571,0.559297502040863,-0.03797111660242081,0.5892913341522217,0.5679242610931396,-0.04260195046663284
W,0.5366974472999573,0.7603682279586792,2.2382654663033463e-07,0.5167037844657898,0.7147482633590698,-0.019750012084841728,0.513167142868042,0.6478990316390991,-0.02566986344754696,0.5446707606315613,0.6023051142692566,-0.02973114512860775,0.5736320614814758,0.587418794631958,-0.03355151787400246,0.5021440386772156,0.5616415739059448,-0.009907331317663193,0.4875998795032501,0.4834035038948059,-0.017584489658474922,0.47969383001327515,0.4359665513038635,-0.025678036734461784,0.47343921661376953,0.39471524953842163,-0.03289469704031944,0.529349148273468,0.5510475039482117,-0.010270052589476109,0.5261713266372681,0.4640340209007263,-0.01474855002015829,0.5245816707611084,0.409728467464447,-0.02415488287806511,0.5221921801567078,0.3653796911239624,-0.0320664718747139,0.5530199408531189,0.566638171672821,-0.013532445766031742,0.5638154149055481,0.4960494935512543,-0.023463165387511253,0.5706499218940735,0.44771915674209595,-0.03848058730363846,0.5741936564445496,0.40515798330307007,-0.04977738484740257,0.5750812888145447,0.5993224382400513,-0.01855999045073986,0.5901318192481995,0.562028169631958,-0.03035307489335537,0.5907394289970398,0.5634000897407532,-0.03653664514422417,0.587494432926178,0.5710984468460083,-0.04113854095339775
W,0.5349923372268677,0.7626127600669861,2.2911265773473133e-07,0.5152953863143921,0.7168415784835815,-0.019185150042176247,0.512406587600708,0.6511402726173401,-0.02522522211074829,0.5437157154083252,0.6070529222488403,-0.02955738455057144,0.5721941590309143,0.5919550657272339,-0.03374064713716507,0.5018157362937927,0.5667044520378113,-0.009999110363423824,0.4875425696372986,0.4894879460334778,-0.017806876450777054,0.47988834977149963,0.4424426555633545,-0.025979310274124146,0.4738439619541168,0.40150898694992065,-0.03327247500419617,0.5286697745323181,0.5564965605735779,-0.010493339970707893,0.5255630612373352,0.47020283341407776,-0.015388879925012589,0.5241231322288513,0.4165738523006439,-0.025229671970009804,0.5218027830123901,0.37278926372528076,-0.03339771926403046,0.5519851446151733,0.5722073316574097,-0.013681687414646149,0.5630979537963867,0.5016723871231079,-0.0236602034419775,0.5698127746582031,0.45449501276016235,-0.03843194246292114,0.5731543302536011,0.41323989629745483,-0.04954768717288971,0.5736083984375,0.6046738624572754,-0.01852327212691307,0.5880479216575623,0.5689263343811035,-0.030225157737731934,0.5892381072044373,0.568396806716919,-0.036277223378419876,0.586886465549469,0.5737716555595398,-0.04073147848248482
W,0.5321623086929321,0.7653827667236328,2.0157575875145994e-07,0.5124390125274658,0.7216745615005493,-0.018889294937253,0.5092242360115051,0.6552081108093262,-0.023840682581067085,0.5408595204353333,0.6113882064819336,-0.026834163814783096,0.5698078870773315,0.596546471118927,-0.029630254954099655,0.49951231479644775,0.571444034576416,-0.009504470974206924,0.48517370223999023,0.4947704076766968,-0.01665882021188736,0.47758522629737854,0.44814974069595337,-0.02432885579764843,0.4712687134742737,0.40684276819229126,-0.03121858462691307,0.5265194177627563,0.5607444047927856,-0.010310889221727848,0.523131251335144,0.47419896721839905,-0.014598187990486622,0.5212689638137817,0.4206043481826782,-0.02388569340109825,0.5181050300598145,0.3764614164829254,-0.031655170023441315,0.5498368740081787,0.5754126906394958,-0.013895195908844471,0.5610625147819519,0.5056824088096619,-0.024109050631523132,0.5678084492683411,0.45857152342796326,-0.03895462304353714,0.5707929134368896,0.41639742255210876,-0.04992581903934479,0.5719340443611145,0.6072646379470825,-0.01907946914434433,0.5864898562431335,0.5670625567436218,-0.030735701322555542,0.5863821506500244,0.5721363425254822,-0.03591231629252434,0.5822741985321045,0.5848580598831177,-0.039709772914648056
W,0.5313641428947449,0.7656458020210266,1.8540704616043513e-07,0.5110674500465393,0.7229399681091309,-0.0183560848236084,0.5062769651412964,0.6566253900527954,-0.02301074005663395,0.5370798110961914,0.6114420294761658,-0.02567889168858528,0.5662598609924316,0.5962321162223816,-0.028214819729328156,0.49728137254714966,0.5739586353302002,-0.009595563635230064,0.48216378688812256,0.49825119972229004,-0.01652836799621582,0.4743168354034424,0.4518801271915436,-0.023888805881142616,0.46764031052589417,0.41039401292800903,-0.030534926801919937,0.5244980454444885,0.56223464012146,-0.010743002407252789,0.5203524231910706,0.47529515624046326,-0.015029112808406353,0.5176125764846802,0.42121031880378723,-0.023777080699801445,0.5135743618011475,0.37630242109298706,-0.03099658153951168,0.5482783317565918,0.5758727192878723,-0.014588061720132828,0.5585539937019348,0.5041422247886658,-0.025135159492492676,0.5646923780441284,0.45624417066574097,-0.03961019590497017,0.5674411058425903,0.413441002368927,-0.05011323466897011,0.5708997845649719,0.607509434223175,-0.01994568482041359,0.5844262838363647,0.5646491646766663,-0.031949762254953384,0.5841204524040222,0.572602391242981,-0.03653804957866669,0.5801821947097778,0.5888559222221375,-0.039708275347948074
W,0.5314061045646667,0.7658505439758301,1.9818595831111452e-07,0.5103381276130676,0.7242130041122437,-0.019325941801071167,0.5051722526550293,0.6582823991775513,-0.02516852132976055,0.5360481142997742,0.6121312975883484,-0.028912940993905067,0.565278947353363,0.5954694151878357,-0.03263356536626816,0.49530354142189026,0.5742999315261841,-0.01183050125837326,0.4787912368774414,0.4983178377151489,-0.01985316351056099,0.4696912169456482,0.45072242617607117,-0.02805427834391594,0.46180468797683716,0.40826693177223206,-0.035317327827215195,0.5229254364967346,0.561577558517456,-0.012821446172893047,0.5181103944778442,0.47439056634902954,-0.017886491492390633,0.5149688720703125,0.4195225238800049,-0.027153318747878075,0.5103992819786072,0.37388378381729126,-0.034744568169116974,0.547057032585144,0.575427770614624,-0.016482539474964142,0.5568576455116272,0.5019148588180542,-0.027512695640325546,0.5623998045921326,0.45292115211486816,-0.042260296642780304,0.5641862750053406,0.40901076793670654,-0.05304495617747307,0.5699606537818909,0.6074522733688354,-0.02169312909245491,0.5837666988372803,0.5652294754981995,-0.03444148227572441,0.5836129188537598,0.5711591243743896,-0.039545848965644836,0.5791280269622803,0.584770143032074,-0.043034814298152924
W,0.5314109921455383,0.7654130458831787,2.0290343627493712e-07,0.509684145450592,0.7255038022994995,-0.02076728083193302,0.5041658878326416,0.6573753356933594,-0.02603660151362419,0.5366145968437195,0.6104296445846558,-0.02855244092643261,0.5667638778686523,0.5919573307037354,-0.030671898275613785,0.4936787486076355,0.5716887712478638,-0.012824052013456821,0.47615185379981995,0.49434638023376465,-0.020414011552929878,0.46663278341293335,0.445634663105011,-0.028059909120202065,0.4588533341884613,0.4019860625267029,-0.034786392003297806,0.5222519040107727,0.5587124228477478,-0.013194429688155651,0.5171499848365784,0.469608873128891,-0.017791736871004105,0.5138119459152222,0.41397300362586975,-0.026331081986427307,0.5093497633934021,0.3675781488418579,-0.033346112817525864,0.5468837022781372,0.5719724297523499,-0.01651623472571373,0.5572621822357178,0.4982381761074066,-0.02787887491285801,0.5632596015930176,0.4492855668067932,-0.042829256504774094,0.5655326247215271,0.4040609896183014,-0.0534856952726841,0.5706287026405334,0.6040237545967102,-0.021482404321432114,0.5853563547134399,0.5580940842628479,-0.03390662372112274,0.5832852721214294,0.5687655806541443,-0.03830160200595856,0.5765843987464905,0.5885523557662964,-0.04131634905934334
W,0.532758355140686,0.7682726383209229,2.2234695506995195e-07,0.5103421807289124,0.7275022268295288,-0.02079899050295353,0.5046709775924683,0.6573798656463623,-0.026240525767207146,0.5375253558158875,0.6085466742515564,-0.029080931097269058,0.5680734515190125,0.5910812616348267,-0.03162941709160805,0.4929717481136322,0.5697526931762695,-0.0131308538839221,0.4744530916213989,0.4897371530532837,-0.020912902429699898,0.4642861783504486,0.43853235244750977,-0.028758687898516655,0.45607659220695496,0.39336100220680237,-0.03571833297610283,0.5224733948707581,0.5561410784721375,-0.013474889099597931,0.5170814394950867,0.46503686904907227,-0.017836902290582657,0.513847291469574,0.40735119581222534,-0.026277458295226097,0.509708046913147,0.36002317070961,-0.03333242982625961,0.5481583476066589,0.5704753994941711,-0.016732987016439438,0.5586776733398438,0.4946645498275757,-0.02768467739224434,0.5647154450416565,0.44392767548561096,-0.04247457534074783,0.5672465562820435,0.3984684944152832,-0.05321921408176422,0.5726035237312317,0.6038875579833984,-0.021684711799025536,0.5879046320915222,0.5580101013183594,-0.03424878418445587,0.5853608250617981,0.565342903137207,-0.038961607962846756,0.5780876278877258,0.5817424654960632,-0.042227067053318024
W,0.5339763164520264,0.7709794044494629,2.441577180434251e-07,0.5106819272041321,0.7298378944396973,-0.02126629464328289,0.5047249794006348,0.6580544114112854,-0.02726692147552967,0.5385560989379883,0.6079668402671814,-0.0306883305311203,0.5701518654823303,0.5897684693336487,-0.03397149220108986,0.492349237203598,0.5677331686019897,-0.014569713734090328,0.47261470556259155,0.4846968650817871,-0.023109491914510727,0.4618133306503296,0.43074658513069153,-0.03146195411682129,0.45308786630630493,0.3835963010787964,-0.038789693266153336,0.5226901769638062,0.553196907043457,-0.015026290901005268,0.5174469351768494,0.4595491588115692,-0.01994357816874981,0.514576256275177,0.3998302221298218,-0.02885635569691658,0.5105395317077637,0.35175347328186035,-0.036205846816301346,0.5491646528244019,0.5679589509963989,-0.01836983859539032,0.5604750514030457,0.4886150360107422,-0.029749726876616478,0.56700599193573,0.43562790751457214,-0.04504276067018509,0.56956946849823,0.38903680443763733,-0.05621866509318352,0.5740951299667358,0.6023129224777222,-0.023405300453305244,0.5908246040344238,0.5564375519752502,-0.03682811185717583,0.5892340540885925,0.5626040101051331,-0.042157966643571854,0.5824077129364014,0.5776016116142273,-0.04579051211476326
W,0.5347661375999451,0.7747200727462769,2.6545941977929033e-07,0.5102494955062866,0.7314202785491943,-0.02181551232933998,0.5040199756622314,0.6562776565551758,-0.028165768831968307,0.5387486219406128,0.6034497022628784,-0.03194699063897133,0.571241557598114,0.5863977670669556,-0.035577476024627686,0.4911655783653259,0.5647110342979431,-0.014686615206301212,0.4708467721939087,0.47962695360183716,-0.023453528061509132,0.45962199568748474,0.4237569570541382,-0.032145533710718155,0.4504545331001282,0.37532076239585876,-0.03983577340841293,0.5223151445388794,0.5495291948318481,-0.01503752637654543,0.5168880820274353,0.45427262783050537,-0.019794220104813576,0.5144976377487183,0.39319974184036255,-0.02853512391448021,0.5109659433364868,0.34510093927383423,-0.035782430320978165,0.5497144460678101,0.5648277401924133,-0.01839378848671913,0.5613813400268555,0.4840593934059143,-0.02945493534207344,0.5685046911239624,0.4289148449897766,-0.04469041898846626,0.571597695350647,0.38123780488967896,-0.05597784370183945,0.5752614140510559,0.6000510454177856,-0.02357327565550804,0.592625617980957,0.555688202381134,-0.03723077103495598,0.5915038585662842,0.5588523745536804,-0.04302266240119934,0.5849923491477966,0.5700511336326599,-0.0469873808324337
